cod_gte_inv,cod_region_gte_inv,sistematica_anual,tiempo_instrum_resta,tiempo_restante
6348457127782643712,3,85050,9120.0,75930
5892352324634641774,3,85050,9120.0,75930
3418691727959591871,3,85050,,75930
2727520240940259531,3,85050,9120.0,75930
7191292115611173787,3,85050,9120.0,75930
8648915042775491028,3,85050,9120.0,75930
5185903810255268653,2,85050,9120.0,75930
6899003880116134732,2,85050,9120.0,75930
4874253757214274259,2,85050,9120.0,75930
2830901892139129799,2,85050,9120.0,75930
5252392337476504212,2,85050,9120.0,75930
4588499334736968753,2,85050,9120.0,75930
856805249389296756,2,85050,9120.0,75930
626418456100704273,2,85050,9120.0,75930
7572336283602771689,2,85050,9120.0,75930
1124091073715872896,2,85050,9120.0,75930
8760413806532274548,2,85050,9120.0,75930
6994591560675612489,2,85050,9120.0,75930
5998059803760412036,2,85050,9120.0,75930
5628721054647793790,2,85050,9120.0,75930
7848047449742946354,2,85050,9120.0,75930
9079515411528897215,4,85050,9120.0,75930
8047120398889169571,4,85050,9120.0,75930
1964786946992177764,4,85050,9120.0,75930
5233438259559169896,4,85050,9120.0,75930
3527339400366339877,1,85050,9120.0,75930
8665025414122498329,1,85050,9120.0,75930
1063303585459641168,1,85050,9120.0,75930
6386334348562881359,1,85050,9120.0,75930
7255060369211437952,1,85050,9120.0,75930
1965312692498047603,1,85050,9120.0,75930
1779618573794003570,1,85050,9120.0,75930
6393060264697452315,1,85050,9120.0,75930
4456270089495195284,1,85050,9120.0,75930
3601147290888769305,1,85050,9120.0,75930
2733424828101944214,1,85050,9120.0,75930
4134087135805958356,1,85050,9120.0,75930
646295124943660661,1,85050,9120.0,75930
4226249958867199939,1,85050,9120.0,75930
4204562413355719638,1,85050,9120.0,75930
160572783483585001,1,85050,9120.0,75930
8435264564422878684,1,85050,9120.0,75930
6823146045912890983,5,85050,9120.0,75930
1234591062429359022,5,85050,9120.0,75930
4716839945563024945,5,85050,9120.0,75930
2503505065354668098,5,85050,9120.0,75930
407898234825809740,5,85050,9120.0,75930
3068611274367202794,5,85050,9120.0,75930
6860972591341074531,5,85050,9120.0,75930
1067643372379149345,5,85050,9120.0,75930
